Latitude;Longitude;City;Yiddish;Romanized;Pre-WW2-Population;URL
48.200;16.367;Vienna;װין;Vin;166,000;https://en.wikipedia.orghttps://en.wikipedia.org/wiki/Vienna
53.150;29.233;Bobruisk;באַברויסק;Babruisk;21,558;https://en.wikipedia.org/wiki/Bobruisk
52.133;23.667;Brest;בריסק;Brisk;30,000;https://en.wikipedia.org/wiki/Brest,_Belarus
53.900;27.567;Minsk;מינסק;Minsk;90,000;https://en.wikipedia.org/wiki/Minsk
52.117;26.100;Pinsk;פינסק;Pinsk;20,200;https://en.wikipedia.org/wiki/Pinsk
55.19167;30.20556;Vitebsk;וויטעבסק;Vitebsk;34,400;https://en.wikipedia.org/wiki/Vitebsk
50.083;14.417;Prague;פּראָג;Prog;56,000;https://en.wikipedia.org/wiki/Prague
50.117;8.683;Frankfurt;פראנקפורט;Frankfurt;26,158;https://en.wikipedia.org/wiki/Frankfurt
47.49250;19.05139;Budapest;בודאפעסט;Budapest;184,000;https://en.wikipedia.org/wiki/Budapest
55.87500;26.53556;Daugavpils;דווינסק;Dvinsk;11,106;https://en.wikipedia.org/wiki/Daugavpils
56.94889;24.10639;Riga;ריגע;Rige;43,672;https://en.wikipedia.org/wiki/Riga
54.89722;23.88611;Kaunas;קאָװנע;Kovne;38,000;https://en.wikipedia.org/wiki/Kaunas
54.683;25.283;Vilnius;װילנע;Vilne;55,000;https://en.wikipedia.org/wiki/Vilnius
47.00000;28.91667;Chişinău;קישינעװ;Kishinev;70,000;https://en.wikipedia.org/wiki/Chi%C5%9Fin%C4%83u
53.117;23.150;Białystok;ביאַליסטאָק;Byalistok;40,000;https://en.wikipedia.org/wiki/Bia%C5%82ystok
54.367;18.633;Gdańsk;דאַנציג;Dantsig;;https://en.wikipedia.org/wiki/Gda%C5%84sk
50.067;19.933;Kraków;קראָקע;Kroke;60,000;https://en.wikipedia.org/wiki/Krak%C3%B3w
51.783;19.467;Łódź;לאָדז;Lodzh;223,000;https://en.wikipedia.org/wiki/%C5%81%C3%B3d%C5%BA
51.24806;22.57028;Lublin;לובלין;Lublin;40,000;https://en.wikipedia.org/wiki/Lublin
52.400;16.917;Poznań;פּױזן;Poyzn;;https://en.wikipedia.org/wiki/Pozna%C5%84
52.233;21.017;Warsaw;װאַרשע;Varshe;400,000;https://en.wikipedia.org/wiki/Warsaw
51.100;17.033;Wrocław;ברעסלוי;Bresloy;10,309;https://en.wikipedia.org/wiki/Wroc%C5%82aw
44.43250;26.10389;Bucharest;בוקארעשט;Bukaresht;100,000;https://en.wikipedia.org/wiki/Bucharest
46.767;23.583;Cluj-Napoca;קלויזענבורג;Klozenberg;16,763;https://en.wikipedia.org/wiki/Cluj-Napoca
47.15694;27.59028;Iaşi;יאַס;Yas;51,000;https://en.wikipedia.org/wiki/Ia%C5%9Fi
54.70028;20.45306;Kaliningrad;קעניגסבערג;Kenigsberg;5,500;https://en.wikipedia.org/wiki/Kaliningrad
55.750;37.617;Moscow;מאָסקווע;Moskve;250,000;https://en.wikipedia.org/wiki/Moscow
59.950;30.300;Saint Petersburg;לענינגראַד;Leynengradyeh;200,000;https://en.wikipedia.org/wiki/Saint_Petersburg
54.78278;32.04528;Smolensk;סמאָלענסק;Smolensk;3,000;https://en.wikipedia.org/wiki/Smolensk
48.14389;17.10972;Bratislava;פרעשבורג;Pressburg;14,882;https://en.wikipedia.org/wiki/Bratislava
48.30000;25.93333;Chernivtsi;טשערנאָוויץ;Chernowitz;50,000;https://en.wikipedia.org/wiki/Chernivtsi
48.450;34.983;Dnipropetrovsk;קאַטערינעסלאַוו;Katerineslav;100,000;https://en.wikipedia.org/wiki/Dnipropetrovsk
48.92278;24.71056;Ivano-Frankivsk;סטאַניסלאװ;Stanislav;30,000;https://en.wikipedia.org/wiki/Ivano-Frankivsk
50.45000;30.52333;Kiev;קיִעװ;Kiev;175,000;https://en.wikipedia.org/wiki/Kiev
50.00444;36.23139;Kharkiv;כאַרקעוו;Kharkev;130,200;https://en.wikipedia.org/wiki/Kharkiv
49.41667;27.00000;Khmelnytskyi;פּראָסקערעוו;Proskerev;13,500;https://en.wikipedia.org/wiki/Khmelnytskyi,_Ukraine
49.83000;24.01417;L'viv;לעמבערג;Lemberg;150,000;https://en.wikipedia.org/wiki/L%27viv
46.485722;30.743444;Odessa;אַדעס;Ades;180,000;https://en.wikipedia.org/wiki/Odessa
49.567;25.600;Ternopil;טאַרנעפּאל;Tarnepol;18,000;https://en.wikipedia.org/wiki/Ternopil
49.233;28.483;Vinnitsa;וויניצע;Vinitse;21,812;https://en.wikipedia.org/wiki/Vinnitsa
50.25000;28.66667;Zhytomyr;זשיטאָמיר;Zhitomir;30,000;https://en.wikipedia.org/wiki/Zhytomyr
